fips_full,geographic_id,tract_id,location_name,year,black_population,total_population,black_percent,black_pop_change,black_pop_pct_change,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001009507,G1100010009507,009507,State: 11 County: 001 Tract: 95.07,1980,1899,1957,0.9703628002043944,NA,NA,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,Tract 95.07,1990,1652,1686,0.9798339264531436,-247,-13.006845708267509,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,Census Tract 95.07,2000,1484,1533,0.9680365296803652,-168,-10.16949152542373,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,Census Tract 95.07,2010,1304,1489,0.8757555406312961,-180,-12.129380053908356,009507,009507,009507,0,NA,NA,NA,NA
11001009507,G1100010009507,009507,Census Tract 95.07,2020,1074,1525,0.7042622950819672,-230,-17.63803680981595,009507,009507,009507,0,NA,NA,NA,NA
11001009509,G1100010009509,009509,Tract 95.09,1990,3157,3271,0.9651482726994804,NA,NA,009509,009509,009509,0,NA,NA,NA,NA
11001009509,G1100010009509,009509,Census Tract 95.09,2000,2787,2898,0.9616977225672878,-370,-11.719987329743429,009509,009509,009509,0,NA,NA,NA,NA
11001009509,G1100010009509,009509,Census Tract 95.09,2010,2592,2940,0.8816326530612245,-195,-6.996770721205597,009509,009509,009509,0,NA,NA,NA,NA
11001009509,G1100010009509,009509,Census Tract 95.09,2020,2271,3194,0.711020663744521,-321,-12.38425925925926,009509,009509,009509,0,NA,NA,NA,NA
11001005303,G1100010005303,005303,Census Tract 53.03,2020,310,3215,0.09642301710730948,NA,NA,005303,005303,005303,2,Young Lions,Massachusetts Avenue NW | Massachusetts Avenue & 17th Street NW,Route,Street
11001010202,G1100010010202,010202,Census Tract 102.02,2020,647,2631,0.2459141011022425,NA,NA,010202,010202,010202,5,An Orange Line Train to Ballston | Lost in the City | His Mother's House,Smithsonian Metro Stop | Southwest | G Street SW | 7th Street SW | Flagship,Setting | Zone of Action | Route,Subway Station | Quadrant | Street | Restaurant
11001005003,G1100010005003,005003,Census Tract 50.03,2020,376,2143,0.17545496966868876,NA,NA,005003,005003,005003,1,Marie,13th Street NW,Setting,Street
