fips_full,census_tract,total_crime,violent_crime,property_crime,year,tract_id,geography,source,data_type,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001004801,004801,147,NA,NA,2020,004801,tract,NA,NA,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001010800,010800,201,14,187,2010,010800,tract,DC Open Data Crime Incidents,crime_counts_by_tract,010800,010800,010800,1,The Girl Who Raised Pigeons,Interior Department,Projected Space,Government Office
11001010800,010800,128,NA,NA,2020,010800,tract,NA,NA,010800,010800,010800,1,The Girl Who Raised Pigeons,Interior Department,Projected Space,Government Office
11001006801,006801,89,24,65,2010,006801,tract,DC Open Data Crime Incidents,crime_counts_by_tract,006801,006801,006801,2,An Orange Line Train to Ballston | A New Man,19th Street | Independence Street and 15th Street NW,Route | Setting,Street
11001006801,006801,84,NA,NA,2020,006801,tract,NA,NA,006801,006801,006801,2,An Orange Line Train to Ballston | A New Man,19th Street | Independence Street and 15th Street NW,Route | Setting,Street
11001007406,007406,149,58,91,2010,007406,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007406,007406,007406,0,NA,NA,NA,NA
11001007406,007406,89,NA,NA,2020,007406,tract,NA,NA,007406,007406,007406,0,NA,NA,NA,NA
11001007503,007503,171,65,106,2010,007503,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007503,007503,007503,9,The Girl Who Raised Pigeons | The Night Rhonda Ferguson Was Killed | The Store | The Sunday Following Mother's Day | A Butterfly on F Street | A New Man,Anacostia | Gladys?s Father's House | Curtis Brother's | The House of Agnes and Maddie | Cleansing Waters Baptist Church | Sam and Hazel?s House | Elizabeth's House,Zone of Action | Setting | Marker,Neighborhood | House | Store | Business | Church
11001007503,007503,193,NA,NA,2020,007503,tract,NA,NA,007503,007503,007503,9,The Girl Who Raised Pigeons | The Night Rhonda Ferguson Was Killed | The Store | The Sunday Following Mother's Day | A Butterfly on F Street | A New Man,Anacostia | Gladys?s Father's House | Curtis Brother's | The House of Agnes and Maddie | Cleansing Waters Baptist Church | Sam and Hazel?s House | Elizabeth's House,Zone of Action | Setting | Marker,Neighborhood | House | Store | Business | Church
11001007709,007709,78,16,62,2010,007709,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007709,007709,007709,0,NA,NA,NA,NA
11001007709,007709,115,NA,NA,2020,007709,tract,NA,NA,007709,007709,007709,0,NA,NA,NA,NA
11001007903,007903,122,29,93,2010,007903,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007903,007903,007903,1,A New Man,21st Street NW,Setting,Street
11001007903,007903,142,NA,NA,2020,007903,tract,NA,NA,007903,007903,007903,1,A New Man,21st Street NW,Setting,Street
11001009700,009700,140,50,90,2010,009700,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009700,009700,009700,0,NA,NA,NA,NA
11001009700,009700,79,NA,NA,2020,009700,tract,NA,NA,009700,009700,009700,0,NA,NA,NA,NA
11001009807,009807,226,61,165,2010,009807,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009807,009807,009807,0,NA,NA,NA,NA
11001009807,009807,143,NA,NA,2020,009807,tract,NA,NA,009807,009807,009807,0,NA,NA,NA,NA
11001009907,009907,122,35,87,2010,009907,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009907,009907,009907,0,NA,NA,NA,NA
11001009907,009907,71,NA,NA,2020,009907,tract,NA,NA,009907,009907,009907,0,NA,NA,NA,NA
11001002802,002802,300,75,225,2010,002802,tract,DC Open Data Crime Incidents,crime_counts_by_tract,002802,002802,002802,2,Young Lions,Sixteenth Street | Sherman's Apartment,Marker | Setting,Street | Apartment
11001002802,002802,282,NA,NA,2020,002802,tract,NA,NA,002802,002802,002802,2,Young Lions,Sixteenth Street | Sherman's Apartment,Marker | Setting,Street | Apartment
11001000904,000904,63,NA,NA,2020,000904,tract,NA,NA,000904,000904,000904,0,NA,NA,NA,NA
11001005802,005802,531,NA,NA,2020,005802,tract,NA,NA,005802,005802,005802,18,The Girl Who Raised Pigeons | Young Lions | An Orange Line Train to Ballston | The Sunday Following Mother's Day | His Mother's House | A Butterfly on F Street,"Library Park | Smithsonian | C&P Telephone Company | Martin Luther King, Jr. Memorial Library | Diner | Woodie?s | Becker?s | F Street NW | 12th Street NW` | 13th Street NW | Garfinkel's | Morton?s | Woolworth?s | Kitt?s Music Store",Setting | Marker | Route,Park | Museum | Business | Library | Restaurant | Street | Store
